,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
10,반려동물용품,굿데이,건강한육포 반려견간식,절약주부,2020.07.27,1,"이거 먹고 설사 해서 병원가서 주사 맞다가 오줌 지리고 ㅜㅜ
약 일주일째 먹고 이제서 나았네요.

실망 입니다.
원래 집에서 직접 닭가슴살로 건조기에 만들어서 주다가 요즘 바빠소 ㅜㅜ
급한데로 이거 구매하고
냉장고에 넣어 놓고 하루에 4개? 정도 준게 다인데

속 상합니다.  게으른 주인 잘못 이지요.ㅜㅜ
병원에서 혼났네요. 간식 왠만하면응 주지 말래요 ㅜㅜ
장이 다 부어있다고 ㅜㅜ

미안해 감자야,

현재 1살 말티 암컷입니다.
2.6kg",15,248,1,0,0
11,반려동물용품,굿데이,건강한육포 반려견간식,석*현,2020.02.23,1,문의글에 염분이 없다고했는데 사용원료중에 정제염이있네요 그건 소금이아니라 뭐죠? 벌써 몇번째 시키는건데 얘가왜이렇게 물을 많이마시나했더니.. 하아.. 꼭 이것때문은 아니겠지만 진짜 배신감드네요 강아지가 먹는다고 우습게생각하지마시고 똑바로 만드세요,0,137,1,0,0
12,반려동물용품,굿데이,건강한육포 반려견간식,이*영,2020.08.07,1,지금까지 이 제품을 계속 구매해서 강아지 간식으로 주었는데 이번 제품은 기존의 제품과는 냄새가 너무 다릅니다. 잘못 말린것인지 바닥은 하얀 자국들이 있는데 약간의 청국장 뜬 냄새가 나요 . 보통 이간식을 주면 환장을 하고 먹던 아이가 간식을 던져줘도 별 반응이 시원찮고 냄새만 맡고 갑니다. 변질된 제품일까요? 먹여야 할지 망설여 집니다.,0,189,1,0,0
13,반려동물용품,굿데이,건강한육포 반려견간식,ehp,2019.06.12,1,"생각보다 너무 얇고  길이도  일정하지않고  짧은부스러기같은게  워낙많다보니   먹일때  술술떨어지고  봉지뜯자마자  닭비린내가 너무심해서  3/1조차  못먹이고  폐기함.   동물이 먹는거라지만  사람이  맡았을때   비위상할정도라면  비린내가  넘  심한거아닌가요
정도것나야  먹일텐데,   생산자들이  다시한번  테스트해보고   보안점을찾아   판매하시길바래요",1,204,1,0,0
14,반려동물용품,굿데이,건강한육포 반려견간식,아기호두,2019.10.03,1,"속상하네요. 
평소와 똑같은 걸 먹이고 다른건 이 간식뿐이였는데
어제 밤에 먹고나서부터 오늘 새벽부터 오후까지 설사하고 토하더니 하루종일 굶고 쓰러져 잠만 자네요
구매후기중 이거 먹고 장염걸린것 같다던 글 있었는데 그후기를 안읽고 산게 후회됩니다",3,137,0,0,0
15,반려동물용품,굿데이,건강한육포 반려견간식,송*안,2020.06.18,1,"여러번 주문했었는데 와, 이제는 안시켜야겠네요 냄새가 무슨 식초 썩은내가 풀풀 ㅡㅡ 닭이랑 오리 주문했는데 둘다 그러네요ㅋㅋㅋㅋㅋㅋ",0,73,0,0,0
16,반려동물용품,굿데이,건강한육포 반려견간식,조*형,2019.07.13,1,사료랑 이번에 구매한 육포만 먹이는데 육포를 주면서부터 설사를 합니다. 몇일 지속되길래 육포에 배탈을 일으키는 세균이 있나싶어 한번 쪄서 줘보기도 하고 가스불에 타지않게 익혀서 쥐보기도 했는데 그이후론 변이 깔끔 합니다. 혹시나 저와 같은 경우이신분은 같은방법을 써보기바래요.,0,154,0,0,0
17,반려동물용품,굿데이,건강한육포 반려견간식,신*,2019.08.31,1,"포장지 딱 뜯었을때 썪은냄새가 확 올라와서 건조가 덜됐나? 싶었는데. ᆢ만져보니 몇년을 건조시킨  수분이 완전 날아가  마른나무라할까??  
그래도 혹시나해서 멍뭉이 하나 먹여보니 바로설사 해버리고
나한테만 이런것이온건지 원래이런건지ᆢ
간식 1ㅇ년넘게  사다먹여봤지만 이런 불량은 처음 입니다
그냥 돈버렸다 하고 버릴랍니다 ᆢ",4,182,3,0,0
18,반려동물용품,굿데이,건강한육포 반려견간식,이*은,2020.06.27,1,"굿데이 건강한 육포 닭고기 오리고기 몇달째 먹고있는데요.
세마리 모두 이 브랜드 제품 잘 먹거든요 그런데 소고기맛을 처음 주문해서 먹였더니 한마리는 아예 먹지를 않고, 나머지 두마리는 먹자마자 바로 토했어요 첨엔 이유를 몰랐는데 나중에 주고나서 또 토를 하길래 문제가 잇구나 싶었습니다 환불 받고싶어요",1,168,0,1,0
19,반려동물용품,굿데이,건강한육포 반려견간식,이*영,2019.06.30,1,"강아지가 이 간식 먹기만하면 배탈이나서 다 갖다 버렸어요
오리육포랑 닭고기육포 한봉지씩 해서 17000원어치?샀는데 너무 화나네요 ㅡㅡ 환불되나요? 
강아지 하루에 10번 배탈햇어요 이런상품을 판매하나요
배탈난다는 후기봤는데 설마하고 시킨 제잘못인가요
역시나네요....... 비추입니다 환불해주세요진짜..",4,170,2,0,0
20,반려동물용품,굿데이,건강한육포 반려견간식,배*태,2020.12.07,1,"후기에 좋다고 해서 간식을 일주일은 먹였네요 그 뒤로 물설사를 며칠동안 하고 토하고 저는 안좋은것도 모르고 애기한테 줬었어요  간식 안주니까 설사 더이상 안했구요
무슨 그지같은 재료로 만들길래 애가 이지경이 되나요? 
반품하려다가 이미 뜯었고 그 돈도 받고 싶지 않아서 참습니다.
소비자 속이고 팔 생각 하지마세요 강아지도 저나 다른분들에게는 소중한 가족입니다",3,201,1,0,0
21,반려동물용품,굿데이,건강한육포 반려견간식,최*경,2021.01.28,1,"올해 9살된 강아지를 키우고 있습니다.
평소에도 입이 짧은편이지만 이건 냄새만 맡고 안먹네요. 
굵기도 너무 굵고, 딱딱 하기도 하고..
잘라서 다른 간식과 함께 줬는데도 안먹으니.. 에고고..
참고로 절대 말랑하지 않아요. 진짜 딱딱하고 가위로 
자르는데도 진짜 고생했네요. 진심 이건 아니었구나.. 싶습니다.
배송 받은지는 꽤 되었는데 그래도 먹겠지.. 하며 기다렸는데
절대 안먹고,다른 간식들이랑 섞어 줘도 이 간식만 다 골라 뱉어 냅니다.
결국 다 버리고 이제서야 후기 작성 하네요. 에휴..",8,279,0,0,0
22,반려동물용품,굿데이,건강한육포 반려견간식,유*민,2019.01.23,1,"우리아이는 7살 넘었는데ㅡ먹기는 너무잘 먹는데
먹이고 나서 몇일후에 ㅡ밥을 아예 안 먹더니..
피 약간 섞인 설사 하네요. 걱정되서 바로 병원가려다 혹시나해서
급여 중단하니, 바로 정상배변하고 ㅡ사료도 잘 먹어서
결국, 작은 한봉지만 ㄱㅐ봉 하고, 나머지는 ..ㅡㅡ;;",4,150,0,0,0
23,반려동물용품,굿데이,건강한육포 반려견간식,유*경,2020.11.14,1,"냄새나고 애들 장염 걸렸다는 후기를 보고 설마하면서 시켰는데
예전에는 고소한 냄새가 났는데  이번엔 시큼한 냄새가 납니다
완전 싸구려간식 냄새예요
아~~여기 간식만 5개 시켰는데 불안해서 어찌 먹일지~~버려야하겠죠
다른걸로 갈아탈때가 된듯해요
가격도 싼가격이 아닌데...이런 냄새나는 간식 300g에 거의 2~3000원이면 살수있는것들이 많은데...사기당한 느낌이네요",5,205,5,0,0
24,반려동물용품,굿데이,건강한육포 반려견간식,얼블리,2019.12.05,1,"묽은변 본다는 후기가 많군요 역시나
저희 댕댕이도 이 간식 먹고 묽은 변을 보더라구요
안그래도 장이 예민한데ㅜㅜ괜히 자극시킨 건 아닌지 미안해요ㅜㅜ
저도 두 번 먹이고 바로 망설임 없이 버렸어요
친구가 자기 강아지 먹여본다고 달라고했는데 그냥 버렸어요
괜히 남의집 댕댕이까지 아프면 큰일이잖아요",5,164,0,0,0
25,반려동물용품,굿데이,건강한육포 반려견간식,짱구family,2019.12.23,1,"아...애가 이거먹구 물 겁니 마시네요ㅡㅡ
혹시나 제가 맛을봤는데 술안주?가 될정도임ㅡㅡ
오줌도 평소보다 이빠이 싸구 똥두 질어요ㅠ
우리아이가 안맞는건지 몰라두 다신 안먹여야겠어요ㅠ",3,101,1,0,0
26,반려동물용품,굿데이,건강한육포 반려견간식,박*나,2019.10.04,1,"대형견 두 마리 키웁니다
어제 물건 받고 두개씩 줬는데 설사파티 열려서 대환장하고 있어요 쿠팡 상품평 웬만하면 안남기는데
셰퍼트랑 보더콜리+리트리버믹스 키우는데
아침부터 설사똥 치운다고 고생했어요 
이거랑 원래 먹던 사료 말고는 준게 없는데 대환장파티입니다 버려야겠어요",4,150,1,0,0
27,반려동물용품,굿데이,건강한육포 반려견간식,정*인,2019.06.11,1,"견종이 닥스훈트라서, 딱딱한거 잘 씹어 먹습니다. 그런데, 여태껏 먹인 간식중에 이렇게 힘들게 먹는 모습 처음 봅니다. 만져보니, 참... 답이 없네요. 먹으라고 파는거 맞나요? 애 이빨 상할거 같아서, 하나 먹는거 보고는 나머지는 다 버렸습니다. 요즘도 이런 물건 팔리나요?.. 너무하네요.",0,163,2,0,0
28,반려동물용품,굿데이,건강한육포 반려견간식,남*수,2019.12.12,1,"저희 집 강아지 이 간식먹고 피토하고 난리도 아니였습니다.
진짜 정말 절대로 사지마세요. 후기도 보고 샀는데 제대로 들여다보지않은 제 탓이죠..
내가 산 간식때문에 내 강아지가 아팠던거 생각하면 아직도 눈물이 앞을 가립니다...

별점 1개 나쁨도 아깝습니다.",4,145,0,0,0
29,반려동물용품,굿데이,건강한육포 반려견간식,짜장절미,2020.01.29,1,"안쪽에 검은색 털뭉치 같은게 있네요
처음 사본건데 다신 안사요",1,34,0,0,0
30,반려동물용품,굿데이,건강한육포 반려견간식,손*희,2020.10.03,1,"가성비 좋아 예전 부터 자주 먹였던 간식인데,
무슨 색소가 들어간건지
똥을 싸면 바닥이 물이 들어안지워지고
매트도 다 물들어서 안지워져 결국 버렸었어요.
이정도면 반려견 건강에도 너무 안좋을것 같아
더이상의 재구매는 안합니다!
다른분들도 체크해 보셔야 할것 같아요!!",6,149,3,0,0
31,반려동물용품,굿데이,건강한육포 반려견간식,김*아,2019.04.02,1,"예전꺼는 안그랬는데  ..약간 냄새가 역해졌네요..
음..닭고기는 안그런데 ..+_+;;;;;;
그래도 잘먹으니깐 별탈도없고  먹이긴 하는데 
이젠 닭만 시키려구요.
+++++++++++++++++++++++++++++++

이번에 깐 봉지에는 곰팡이낀게 나왔네요..헐. .진짜 다신 안먹임!!",6,164,35,0,0
32,반려동물용품,굿데이,건강한육포 반려견간식,핑크쫑,2020.10.25,1,"세번째 구입입니다..ㅜㅜ
강아지가 좀 먹더니 뱉더라구요.. 
몸이 안좋은가.. 걱정하기까지 했어요..;;

근데 산책도 잘하고 밥은 잘먹더라구요.
혹시 싶어서 동네에 다른 브랜드 소프트스틱을 사와봤습니다.
세상에.. 냄새자체가 다르더군요...

여태 이런걸 먹였다니..ㅜㅜ

이번 제품이 이상한건지... 
더이상 못사겠네요..

만원 버렸어요..ㅠㅠㅠㅠㅠㅠ",13,199,0,0,0
33,반려동물용품,굿데이,건강한육포 반려견간식,김*희,2020.04.06,1,"강아지 두마리가있는데 두녀석 다 먹고 구토를하네요..ㅠ 
냄새도 약간 이상하고.. 이간식이랑은 안맞는것같습니다~",1,62,1,0,0
34,반려동물용품,굿데이,건강한육포 반려견간식,조*선,2020.06.02,1,상품평보고 구매했어요 오늘 도착해서 먹이고 2시간쯤지나 설사 4번을했네요~컥!!! 봉지뜯자마자 냄새확인하니 약간 꾸리꾸리한 냄새가나긴 했는데~설마했는데~~ㅠ 유통기한 길게 남아있던데~이건 ㅠ~~~  집안에 냄새가~ㅠ,0,120,12,0,0
35,반려동물용품,굿데이,건강한육포 반려견간식,이*순,2019.02.09,1,"엄청 가늘어서 몇 개를 줘야 할지ㅜㅜ
조금만 굵으면 급여도 편하고 아이들 씹기도 좋을 거 같아요
부드러운 간식 찾던 중에 구매했는데 너무 가늘고 부드러워 오히려 한번에 삼키려고 해서 주의가 필요해 보입니다",2,114,0,0,0
36,반려동물용품,굿데이,건강한육포 반려견간식,홍*정,2019.10.24,1,집에서 주는건 영양제  하고 사료  2년동안  단한번도 설사 안했구요  똥싸면  굴러갈정도로  한덩어리 이쁘게 싸는데  이번에 구매한  맛나게 생긴  이것 먹이고  설사 2틀  속상하네요  아무래도  버려야겠네요 ㅠㅠㅠ,0,122,0,0,0
37,반려동물용품,굿데이,건강한육포 반려견간식,코카레로,2019.01.08,1,"상품에서 음식물 쓰레기 냄새가 나요 
사람음식이 아니거 간식인데도 사람인 제가 맡아도 확실히 냄새가 상했네요 먹고 탈나면 어쩌라고 이런음식 파시는거에요 ? 
세봉지로 나눠있는데 세봉지다 그러네요 ;",2,110,1,0,0
38,반려동물용품,굿데이,건강한육포 반려견간식,윤*애,2019.06.13,1,"왜인지 뭣때문인지 
안에 든것중 2번째 먹는 중인데
무른변을 보네요~
사먹는거 잘 안가리고 잘 먹는 아이인데
끊었더니 다시 맛동산 변을 보다가
다시 먹여봤더니 무른변 또 보네요
다시는 안사는 걸루ㅠㅠ",6,111,1,0,0
39,반려동물용품,굿데이,건강한육포 반려견간식,김*주,2019.12.23,1,너무 잘게 채썰려있기도 하고...약간 눅눅해서 그런지 좀 색다른 냄새도 났는데 넘 좋아해서 그냥 먹였더니 몇시간후 설사 ㅜ ㅜ 건조육포는  몇번 먹였었는데 이건먹고 그날로 설사 시작했어요..ㅜ ㅜ 불안 찝찝,0,115,0,0,0
40,반려동물용품,굿데이,건강한육포 반려견간식,배*혜,2020.08.31,1,"솔직히 믿고 사는쿠팡이라서
반려견간식까지 구매해보았는데요..
유통기한은분명 남았는데
이간식먹고 저희 강아지 배탈났는지
몇일동안 대변이 엄청질었어요ㅜㅜ

그래서 이간식 끊어보구 몇일지켜봤더니 
다시금갠찮아졌네요....",7,120,0,0,0
41,반려동물용품,굿데이,건강한육포 반려견간식,이*훈,2019.01.30,1,"견종은 닥스훈트고 나이는 3살인 강아지인데 육포를 먹고 토를 하네요;;
하나통째로 줫는데 급하게 삼키는거같아서 토한거니 싶어서 잘게 잘라서 조금씩줫는데도 토를 하네요..
왜그런거에요 ..",2,104,0,0,0
