,name,manufacturer,product,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
13,ange******,쁘리엘르,침구,2021.07.07,5,이번 여름이 덥다고 하여서 고민하다 구매했습니다. 색깔이 조금 어둡긴하지만 때가 덜 탈껏 같아서 골랐어요. 물건을 받아보니 많이 거칠거리지 않고 적당하고 시원할껏 같아요.,0,95,0,0,0
14,heej****,쁘리엘르,침구,2021.06.19,5,가격도 저렴하니 여기이불 다 만족스러워요 재질도 소재도 디자인도 이번에도 핫딜떳길래 구매했어요 예뻐요 아이이불로 정말 만족합니다 ㅎ,0,73,0,0,0
15,김새댁,쁘리엘르,침구,2021.06.16,5,행사가격으로 잘 산거같아요~ 오자마자 세탁 했어요 오늘 날씨가 덥지만 바람 많이 불고 너무너무 좋아서 더 빨리 마르네요!! 하얀색이라 때 탈까 걱정이지만 여름 한철 시원하게 잘 사용하기 위해 과감하게 선택했어요 너무 맘에 듭니다 ^^,0,130,3,0,0
16,냥이맘,쁘리엘르,침구,2021.06.18,5,매트리스커버 14310원 저렴히 구매했어요 그레이칼라가 칙칙하지않고 밝은편이어서 쎄련된칼라입니다 저렴해서 원단이 뻣뻣하지않을까 걱정했는데 다행히 보들보들 부드러위서 쾌적하게 사용할수 있겠어요 침대커버도 있으면 구매하고싶어요,0,124,0,0,0
17,yess******,쁘리엘르,침구,2021.06.22,5,그동안 침대에 사용하던 침대보가 시원한 느낌이 없어서 여름용으로 구매했어요~ 다이아몬드 누비로 뒷면은 밀림방지천이라 시원하고 편리하게 쓸 수 있겠어요~ 홑이불도 요철처리되어 시원해보이고 야자나무 무늬가 아기자기 귀여워요,0,122,2,0,0
18,hyei****,쁘리엘르,침구,2021.07.05,5,상품에 대한 질문 답변 빨리해주시고 배송도 엄청 빨랐어요!! 쇼킹딜 상품이기도 하고 택배 파업으로 1주일 정도 예상했는데 바로 도착했습니다. 제가 요청한 사항 배려해주시고 넘넘 감사합니다. 제품 품질도 넘넘 좋아요~~ 가성비 짱짱입니다.!! 겨울 베개커버도 판매하시면 와서 구매할게욧~~~♡,0,162,6,0,0
19,ksb2***,쁘리엘르,침구,2021.07.10,5,공룡그림을 좋아하는 아이가 사용하는 여름 이불 입니다. 사이즈가 정말 크네요. 까슬까슬하니 여름에 시원하게 덮을수 있겠어요. 배송은 주문량이 많아 좀 느렸어요.,0,89,0,0,0
20,viol********,쁘리엘르,침구,2021.06.30,5,여름인데 쓰고 있는 패드가 조금 두께감이 있어서 구입했어요 .컬러 맘에 들고요. 박음질도 깔끔해요. 베개커버도 2장이 세트라 좋아요^^ 써보고 차렵도 따로 구입해보려구요. 감사합니다!!,0,103,2,0,0
21,cje0***,쁘리엘르,침구,2021.07.04,5,배송빠르고 포장잘되여 왔습니다 땀을 많이 흘리는 아들용으로 구매했어요 올해 여름은 덕분에 시원하게 보낼수 있을것 같아요,0,66,0,0,0
22,yseh****,쁘리엘르,침구,2021.06.30,5,베이지색 사고 아이보리색으로 추가주문한건데요 아주 깔끔한 아이보리색이라 마음에 쏙드네요 흰색에 가까운 아이보리이고 얼핏보면 그냥 흰색같아보여요^^,0,81,2,0,0
