,product_review_index,product_index,category_index,review_date,review_rating,newline_count,review_len,special_char_count,manufacturer_count,product_count,review_score,c1
61764,6239,80312,74740,2020-12-11,5,29,1125,23,18,7,99,0.8017777777777778
61856,6248,116797,110887,2020-10-26,5,42,553,51,0,0,99,4.707052441229656
61913,6254,116797,110887,2021-02-04,5,39,649,54,0,1,99,4.496147919876734
62063,6269,91071,86123,2020-02-13,5,22,411,58,0,7,99,8.306569343065693
62507,6312,123715,118167,2021-05-12,5,27,545,46,2,4,99,3.9192660550458718
62526,6314,91071,86123,2020-10-04,5,36,553,52,0,1,99,4.893309222423146
62898,6350,91071,86123,2019-12-16,5,23,280,88,2,0,99,27.675
63158,6377,68425,140449,2021-05-09,5,85,1267,48,8,8,99,1.919494869771113
63198,6381,68425,140449,2020-12-28,5,74,1380,25,16,16,99,0.8239130434782609
63228,6384,68425,140449,2020-11-30,5,154,2367,88,10,11,99,3.365019011406844
63278,6389,68425,140449,2020-01-27,5,54,1612,48,0,6,99,1.4522332506203475
63298,6391,68425,140449,2019-10-15,5,83,1415,142,4,5,99,14.279151943462898
63308,6392,68425,140449,2020-01-18,5,50,1123,162,4,13,99,23.534283170080144
63327,6394,68425,140449,2021-02-14,5,32,564,52,6,5,99,4.902482269503546
63450,6406,68425,140449,2019-03-28,5,30,704,79,2,2,99,8.876420454545455
63571,6417,68425,140449,2020-05-24,5,29,511,65,4,3,99,8.317025440313111
63769,6436,68425,140449,2020-02-05,5,23,396,43,2,1,99,4.681818181818182
63813,6440,91071,86123,2020-12-09,5,27,1197,33,2,2,99,0.9164578111946533
63937,6451,68425,140449,2020-03-20,5,20,324,39,0,4,99,4.746913580246914
66356,6705,66925,61422,2021-05-31,5,72,832,57,2,5,99,3.9399038461538463
66364,6706,66925,61422,2021-05-02,5,30,1178,38,6,14,99,1.4227504244482174
66388,6709,66925,61422,2021-01-24,5,22,1025,29,4,12,99,0.9765853658536585
68509,7015,134439,128219,2021-04-08,5,86,1044,63,2,5,99,3.8295019157088124
68517,7016,134439,128219,2020-05-19,5,58,1130,121,2,4,99,12.97433628318584
68593,7026,134439,128219,2020-04-30,5,38,732,30,0,1,99,1.2322404371584699
68630,7030,184100,177867,2020-02-02,5,69,1541,105,0,3,99,7.160934458144062
68671,7035,184100,177867,2019-06-09,5,29,889,72,4,2,99,5.85376827896513
68695,7038,184100,177867,2019-04-22,5,16,595,59,0,2,99,5.858823529411764
68755,7045,184100,177867,2020-07-28,5,47,1327,33,2,2,99,0.8266767143933685
